PlayerID,ClubID,Plays in home country?
336722,1,True
368902,2,True
362641,3,False
314197,4,False
212306,5,False
229884,6,True
305372,7,False
228599,8,False
300409,9,False
184615,10,False
271550,11,False
227851,12,True
354859,13,False
182206,14,False
217315,8,False
286278,15,False
270775,16,False
233952,17,True
312316,15,False
356411,18,True
338673,19,False
373224,20,True
379894,21,False
208353,22,False
296994,23,False
339508,24,True
213001,25,False
214384,26,False
170667,27,False
271414,28,True
275096,29,True
270301,30,False
201200,31,False
323623,32,False
229397,4,False
235097,33,False
356399,34,False
196842,8,True
228528,9,False
309716,35,False
301059,36,True
364763,37,False
196789,38,False
187203,14,False
367261,39,False
207761,40,False
306548,27,False
275136,41,False
300411,42,False
233500,36,False
274034,8,True
306532,16,True
319470,43,True
318601,4,True
319311,44,True
321722,45,True
214135,37,False
352394,46,True
207851,47,True
353118,48,False
230517,49,False
183864,27,False
216970,50,False
228627,4,False
291393,15,False
298681,51,False
229506,52,False
373400,53,False
186455,54,False
218306,27,False
358891,55,True
306900,56,False
336435,57,False
189259,29,False
267834,58,False
268596,8,False
214410,59,False
305036,38,False
186808,55,True
217172,60,True
358112,61,False
216071,62,False
196812,63,False
228715,64,False
270144,65,False
349572,66,False
312868,27,False
349512,67,False
366573,68,False
184616,45,False
313832,39,False
330689,69,False
238072,70,False
313874,71,True
297383,72,True
297103,31,False
297839,73,False
268149,74,True
274090,16,False
184291,75,True
185385,27,True
307529,76,False
177927,77,True
319358,30,False
267811,8,False
321653,45,False
185641,78,False
215002,5,False
375518,45,False
318172,55,False
183000,36,False
318768,63,False
200176,9,False
290186,79,False
302539,80,True
309316,45,True
307849,81,False
367393,82,False
375459,66,False
367347,83,False
356403,5,False
275112,84,True
319438,85,True
359235,11,True
379972,77,False
369058,86,False
217313,37,False
358015,38,False
358048,87,True
196752,45,True
358120,88,False
330659,89,True
300235,55,True
213953,90,False
356198,38,True
236530,91,False
214876,85,False
299878,54,False
234551,92,False
237058,93,True
290452,94,False
290903,61,False
266800,31,False
362727,95,False
306954,4,True
367388,96,False
359217,58,False
379886,97,False
187258,88,False
248373,45,False
198106,9,False
254167,8,False
214961,16,True
269058,98,False
210704,26,False
216435,99,True
254166,39,True
355997,100,False
178299,101,False
297705,38,False
356731,102,True
215513,103,True
214228,104,False
299198,79,False
358024,105,False
367913,45,False
196897,10,False
371044,102,True
353235,106,False
